L,N,d,r,seed,D_(MIS-1),D_MIS,MIS,Process time counter
21,353,0.8,5.386,0,718701.0,301.0,18,9.28
21,353,0.8,5.386,1,289513585.0,203035.0,17,8.5
21,353,0.8,5.386,2,738248.0,829.0,18,10.06
21,353,0.8,5.386,3,822137.0,52.0,18,10.31
21,353,0.8,5.386,4,1368279.0,725.0,18,10.02
21,353,0.8,5.386,5,2124530.0,4096.0,18,9.68
21,353,0.8,5.386,6,603526.0,1216.0,18,9.58
21,353,0.8,5.386,7,138691451.0,177859.0,17,7.27
21,353,0.8,5.386,8,372145.0,15.0,18,6.24
21,353,0.8,5.386,9,3958303.0,3144.0,18,8.36
21,353,0.8,5.386,10,346393726.0,256481.0,17,11.58
21,353,0.8,5.386,11,1147010.0,1893.0,18,9.32
21,353,0.8,5.386,12,293510.0,3.0,18,10.62
21,353,0.8,5.386,13,1061697.0,2729.0,18,9.36
21,353,0.8,5.386,14,1393334.0,770.0,18,6.58
21,353,0.8,5.386,15,1066881.0,1618.0,18,6.83
21,353,0.8,5.386,16,4165456.0,5353.0,18,7.67
21,353,0.8,5.386,17,5957406.0,10778.0,18,10.27
21,353,0.8,5.386,18,49316.0,4.0,18,10.56
21,353,0.8,5.386,19,6095741.0,10861.0,18,10.32
21,353,0.8,5.386,20,1470317.0,536.0,18,8.84
21,353,0.8,5.386,21,298580.0,156.0,18,7.73
21,353,0.8,5.386,22,4063212.0,4417.0,18,6.86
21,353,0.8,5.386,23,386992.0,346.0,18,9.5
21,353,0.8,5.386,24,305458.0,7.0,18,6.46
21,353,0.8,5.386,25,611355115.0,464667.0,17,5.79
21,353,0.8,5.386,26,790694.0,55.0,18,5.54
21,353,0.8,5.386,27,815941.0,186.0,18,5.85
21,353,0.8,5.386,28,3272085.0,1055.0,18,7.1
21,353,0.8,5.386,29,381797.0,36.0,18,10.93
21,353,0.8,5.386,30,1377046.0,155.0,18,9.44
21,353,0.8,5.386,31,185387.0,6.0,18,9.62
21,353,0.8,5.386,32,778477.0,28.0,18,8.91
21,353,0.8,5.386,33,1480113.0,2388.0,18,9.92
21,353,0.8,5.386,34,44394.0,6.0,18,10.04
21,353,0.8,5.386,35,2093292.0,2372.0,18,9.41
21,353,0.8,5.386,36,1316729.0,2717.0,18,10.48
21,353,0.8,5.386,37,7506534.0,16236.0,18,9.9
21,353,0.8,5.386,38,2236789.0,2929.0,18,9.58
21,353,0.8,5.386,39,954189.0,84.0,18,10.33
21,353,0.8,5.386,40,133197.0,3.0,18,9.43
21,353,0.8,5.386,41,1963356.0,1686.0,18,9.27
21,353,0.8,5.386,42,296191408.0,341779.0,17,7.07
21,353,0.8,5.386,43,554487.0,264.0,18,8.56
21,353,0.8,5.386,44,552339.0,124.0,18,10.11
21,353,0.8,5.386,45,612998.0,177.0,18,6.69
21,353,0.8,5.386,46,184861155.0,260519.0,17,5.55
21,353,0.8,5.386,47,401460.0,337.0,18,5.76
21,353,0.8,5.386,48,2678649.0,2024.0,18,9.67
21,353,0.8,5.386,49,775652.0,310.0,18,6.74
21,353,0.8,5.386,50,4846571.0,5590.0,18,8.76
21,353,0.8,5.386,51,929224.0,1058.0,18,9.3
21,353,0.8,5.386,52,2257407.0,1881.0,18,7.36
21,353,0.8,5.386,53,85351.0,5.0,18,6.61
21,353,0.8,5.386,54,327020.0,192.0,18,10.2
21,353,0.8,5.386,55,760247.0,49.0,18,9.67
21,353,0.8,5.386,56,4054131.0,9465.0,18,9.96
21,353,0.8,5.386,57,4006803.0,845.0,18,9.9
21,353,0.8,5.386,58,375607447.0,247124.0,17,6.96
21,353,0.8,5.386,59,1452868.0,4671.0,18,6.45
21,353,0.8,5.386,60,697265.0,622.0,18,6.0
21,353,0.8,5.386,61,1664615.0,2711.0,18,6.16
21,353,0.8,5.386,62,1802011.0,745.0,18,6.62
21,353,0.8,5.386,63,2016091.0,1647.0,18,6.78
21,353,0.8,5.386,64,184814428.0,133080.0,17,9.48
21,353,0.8,5.386,65,862164.0,1429.0,18,9.33
21,353,0.8,5.386,66,3278409.0,5928.0,18,5.76
21,353,0.8,5.386,67,850481.0,1426.0,18,9.98
21,353,0.8,5.386,68,126588.0,60.0,18,9.65
21,353,0.8,5.386,69,356114597.0,536326.0,17,9.93
21,353,0.8,5.386,70,1390617.0,3039.0,18,9.96
21,353,0.8,5.386,71,648427.0,70.0,18,9.87
21,353,0.8,5.386,72,98993480.0,59183.0,17,8.88
