L,Density,Seed,UDG Radius,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
6,1.0,0,1.0,0.024949,0.016388,0.026971,0.016512,0.017885,0.017553,18
6,1.0,1,1.0,0.015665,0.018954,0.017235,0.028807,0.027549,0.032185,18
6,1.0,2,1.0,0.009719,0.012621,0.011148,0.022743,0.018333,0.027428,18
6,1.0,3,1.0,0.011507,0.011814,0.01269,0.011804,0.01957,0.012886,18
6,1.0,4,1.0,0.021764,0.013575,0.023023,0.011525,0.019498,0.012753,18
6,1.0,5,1.0,0.014996,0.015125,0.016563,0.017027,0.01998,0.01811,18
6,1.0,6,1.0,0.013462,0.01304,0.015466,0.019622,0.023106,0.021047,18
6,1.0,7,1.0,0.011311,0.012836,0.013294,0.01721,0.025285,0.018245,18
6,1.0,8,1.0,0.013913,0.013622,0.015695,0.020131,0.022723,0.022347,18
6,1.0,9,1.0,0.028128,0.01556,0.032988,0.047025,0.044279,0.048102,18
6,1.0,10,1.0,0.012652,0.013266,0.014164,0.023292,0.021758,0.024381,18
6,1.0,11,1.0,0.010755,0.011814,0.011955,0.012798,0.017083,0.013893,18
6,1.0,12,1.0,0.01026,0.016158,0.011542,0.013688,0.01921,0.014711,18
6,1.0,13,1.0,0.0098,0.013202,0.011172,0.018076,0.017864,0.019327,18
6,1.0,14,1.0,0.0261,0.0263,0.027427,0.017505,0.020532,0.018651,18
6,1.0,15,1.0,0.019247,0.020985,0.020512,0.013773,0.021602,0.014886,18
6,1.0,16,1.0,0.011441,0.016676,0.012794,0.012456,0.018708,0.013679,18
6,1.0,17,1.0,0.013765,0.013254,0.019159,0.015161,0.019236,0.01742,18
6,1.0,18,1.0,0.026438,0.014072,0.030976,0.030327,0.025247,0.031911,18
6,1.0,19,1.0,0.009491,0.012493,0.010892,0.013218,0.018312,0.014427,18
6,1.0,20,1.0,0.00831,0.011611,0.00963,0.012179,0.018714,0.013313,18
6,1.0,21,1.0,0.011033,0.012449,0.012346,0.013067,0.018907,0.01506,18
6,1.0,22,1.0,0.010215,0.013374,0.013775,0.010006,0.013191,0.011372,18
6,1.0,23,1.0,0.010138,0.013373,0.011433,0.035813,0.037828,0.037988,18
6,1.0,24,1.0,0.00977,0.014064,0.011385,0.017931,0.021493,0.019151,18
6,1.0,25,1.0,0.007659,0.011583,0.008877,0.009904,0.017348,0.021311,18
6,1.0,26,1.0,0.017018,0.014782,0.018279,0.015845,0.019272,0.017634,18
6,1.0,27,1.0,0.01268,0.01385,0.014072,0.02456,0.023767,0.025865,18
6,1.0,28,1.0,0.010215,0.01321,0.011724,0.020627,0.030667,0.022081,18
6,1.0,29,1.0,0.022045,0.025988,0.023462,0.017576,0.022129,0.018808,18
6,1.0,30,1.0,0.0134,0.019552,0.014956,0.022793,0.022953,0.023996,18
6,1.0,31,1.0,0.017088,0.022841,0.021109,0.026232,0.022091,0.027308,18
6,1.0,32,1.0,0.008881,0.012703,0.011323,0.023603,0.033867,0.024739,18
6,1.0,33,1.0,0.009032,0.013812,0.010273,0.01013,0.015104,0.011236,18
6,1.0,34,1.0,0.038014,0.02064,0.04358,0.033608,0.024615,0.03475,18
6,1.0,35,1.0,0.014761,0.017508,0.016067,0.015326,0.017172,0.016374,18
6,1.0,36,1.0,0.008164,0.012144,0.009378,0.016854,0.026177,0.018098,18
6,1.0,37,1.0,0.017923,0.019399,0.019677,0.029078,0.02868,0.030158,18
6,1.0,38,1.0,0.01471,0.014709,0.017894,0.016892,0.018633,0.018951,18
6,1.0,39,1.0,0.021523,0.023232,0.02304,0.021095,0.018428,0.022237,18
6,1.0,40,1.0,0.017441,0.017906,0.018774,0.01866,0.024595,0.020617,18
6,1.0,0,1.415,0.02102,0.025999,0.022876,0.011804,0.016769,0.013182,9
6,1.0,1,1.415,0.015963,0.014303,0.017608,0.009225,0.012032,0.014994,9
6,1.0,2,1.415,0.012689,0.0162,0.014095,0.018188,0.016639,0.019411,9
6,1.0,3,1.415,0.017673,0.019006,0.018911,0.015968,0.020852,0.017094,9
6,1.0,4,1.415,0.028135,0.02342,0.03093,0.011641,0.015058,0.012717,9
6,1.0,5,1.415,0.011145,0.015289,0.01496,0.019694,0.027231,0.020938,9
6,1.0,6,1.415,0.011738,0.014989,0.013337,0.010972,0.015509,0.01246,9
6,1.0,7,1.415,0.017642,0.019028,0.019281,0.025379,0.030828,0.026567,9
6,1.0,8,1.415,0.014168,0.019299,0.015546,0.015218,0.022145,0.016338,9
6,1.0,9,1.415,0.029682,0.017657,0.038776,0.022179,0.024107,0.023405,9
6,1.0,10,1.415,0.008565,0.012638,0.010213,0.007861,0.011537,0.008985,9
6,1.0,11,1.415,0.015057,0.014336,0.016749,0.020781,0.013421,0.022374,9
6,1.0,12,1.415,0.014812,0.01381,0.018816,0.021281,0.033267,0.022426,9
6,1.0,13,1.415,0.013178,0.01941,0.014768,0.019254,0.023508,0.020473,9
6,1.0,14,1.415,0.012353,0.014224,0.014246,0.014144,0.019342,0.017167,9
6,1.0,15,1.415,0.01478,0.020717,0.016227,0.01061,0.012746,0.011852,9
6,1.0,16,1.415,0.011072,0.014124,0.012332,0.008706,0.012166,0.009773,9
6,1.0,17,1.415,0.01442,0.013279,0.015817,0.013792,0.014961,0.015027,9
6,1.0,18,1.415,0.024327,0.041273,0.025543,0.014139,0.015801,0.015441,9
6,1.0,19,1.415,0.015748,0.013986,0.01812,0.022569,0.029778,0.024261,9
6,1.0,20,1.415,0.010481,0.015206,0.01215,0.012599,0.019087,0.013696,9
6,1.0,21,1.415,0.017464,0.013947,0.019022,0.01402,0.012268,0.015586,9
6,1.0,22,1.415,0.024252,0.017763,0.026656,0.01664,0.013458,0.019076,9
6,1.0,23,1.415,0.018755,0.020792,0.021365,0.014411,0.013417,0.016325,9
6,1.0,24,1.415,0.013462,0.019672,0.014999,0.016772,0.013069,0.017948,9
6,1.0,25,1.415,0.010677,0.013024,0.011932,0.008301,0.012122,0.009547,9
6,1.0,26,1.415,0.039226,0.034902,0.041428,0.030964,0.029738,0.032086,9
6,1.0,27,1.415,0.009929,0.012968,0.011153,0.013111,0.018544,0.01426,9
6,1.0,28,1.415,0.009503,0.012536,0.01075,0.008679,0.012675,0.009737,9
6,1.0,29,1.415,0.012861,0.014783,0.014076,0.013,0.019395,0.014118,9
6,1.0,30,1.415,0.011781,0.017825,0.013594,0.0178,0.024268,0.018908,9
6,1.0,31,1.415,0.012033,0.013591,0.013363,0.01085,0.01615,0.01214,9
6,1.0,32,1.415,0.012903,0.015973,0.014574,0.014539,0.020781,0.015989,9
6,1.0,33,1.415,0.010667,0.015626,0.011942,0.013236,0.013229,0.015754,9
6,1.0,34,1.415,0.009906,0.013934,0.0112,0.014004,0.014508,0.015136,9
6,1.0,35,1.415,0.009455,0.012805,0.01067,0.014016,0.016439,0.015296,9
6,1.0,36,1.415,0.017431,0.026749,0.019006,0.015343,0.017608,0.016528,9
6,1.0,37,1.415,0.023938,0.027592,0.025175,0.019785,0.019566,0.020937,9
6,1.0,38,1.415,0.027462,0.028133,0.028941,0.032876,0.026241,0.034749,9
6,1.0,39,1.415,0.02269,0.024881,0.023925,0.009875,0.015201,0.011285,9
6,1.0,40,1.415,0.01199,0.016794,0.013208,0.019916,0.027355,0.021144,9
6,1.0,0,2.0,0.01173,0.013985,0.013414,0.018301,0.019969,0.019505,8
6,1.0,1,2.0,0.008996,0.011992,0.010347,0.014458,0.021483,0.015638,8
6,1.0,2,2.0,0.011898,0.015704,0.013158,0.016442,0.021748,0.018848,8
6,1.0,3,2.0,0.013464,0.014108,0.014835,0.01613,0.018873,0.017256,8
6,1.0,4,2.0,0.01267,0.013495,0.016122,0.020654,0.029139,0.021795,8
6,1.0,5,2.0,0.00952,0.013065,0.010983,0.010688,0.017824,0.011781,8
6,1.0,6,2.0,0.011072,0.013797,0.012642,0.016853,0.02194,0.018168,8
6,1.0,7,2.0,0.010231,0.013145,0.011621,0.016179,0.015737,0.017919,8
6,1.0,8,2.0,0.012184,0.015303,0.013444,0.014646,0.023651,0.015743,8
6,1.0,9,2.0,0.011214,0.013208,0.012666,0.012658,0.019594,0.013721,8
6,1.0,10,2.0,0.009335,0.013508,0.010802,0.035756,0.027988,0.037899,8
6,1.0,11,2.0,0.01114,0.013149,0.012409,0.017321,0.019978,0.01841,8
6,1.0,12,2.0,0.014377,0.021084,0.016246,0.01271,0.019936,0.01397,8
6,1.0,13,2.0,0.011098,0.013463,0.012498,0.014404,0.023498,0.015522,8
6,1.0,14,2.0,0.058198,0.037328,0.064853,0.017168,0.02327,0.019389,8
6,1.0,15,2.0,0.009027,0.013684,0.010379,0.019597,0.028313,0.020845,8
6,1.0,16,2.0,0.020933,0.019068,0.022584,0.010899,0.018492,0.012529,8
6,1.0,17,2.0,0.013659,0.019007,0.015067,0.01046,0.01191,0.011621,8
6,1.0,18,2.0,0.010745,0.014,0.012383,0.023827,0.020444,0.025335,8
6,1.0,19,2.0,0.017617,0.015213,0.01892,0.021465,0.0281,0.022623,8
6,1.0,20,2.0,0.014139,0.016022,0.015392,0.021411,0.018429,0.022518,8
6,1.0,21,2.0,0.009426,0.013122,0.010987,0.010336,0.017238,0.011507,8
6,1.0,22,2.0,0.009817,0.012361,0.011101,0.010999,0.017582,0.012195,8
6,1.0,23,2.0,0.01043,0.016112,0.011752,0.017203,0.031274,0.018325,8
6,1.0,24,2.0,0.019641,0.016096,0.020961,0.014511,0.019494,0.016001,8
6,1.0,25,2.0,0.036278,0.017917,0.038852,0.025763,0.028297,0.031649,8
6,1.0,26,2.0,0.013645,0.012132,0.016041,0.015145,0.026434,0.016278,8
