,L,Density,Seed,UDG Radius,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution,log10 Process TTS,log2 Process TTS,N
3,7,0.8,3,3.0,0.005406,0.006583,0.00661,0.004969,0.006222,0.006112,6,-2.2060699932273153,-7.328405889789792,39
22,7,0.8,22,3.0,0.008828,0.007844,0.01024,0.006453,0.007343,0.008595,6,-2.1341264717921855,-7.089414684689302,39
1355,9,0.8,83,3.0,0.007705,0.008896,0.009291,0.012057,0.008349,0.013468,9,-2.0783655389462945,-6.90418087527141,65
367,7,0.8,54,3.0,0.006631,0.009693,0.007941,0.005827,0.008803,0.007005,6,-2.055369298143722,-6.827789016872549,39
396,7,0.8,83,3.0,0.007206,0.010326,0.008547,0.006215,0.009178,0.007432,6,-2.0372519466413594,-6.767604477911902,39
407,7,0.8,94,3.0,0.009772,0.01306,0.011938,0.008677,0.011343,0.01017,6,-1.945272067917802,-6.462053934615783,39
409,7,0.8,96,3.0,0.008321,0.012176,0.00965,0.007673,0.011458,0.008794,6,-1.9408911820864063,-6.447500946891976,39
403,7,0.8,90,3.0,0.018268,0.017959,0.019548,0.008168,0.011782,0.009328,6,-1.9287809816000254,-6.40727173166155,39
16,7,0.8,16,3.0,0.012771,0.019116,0.014086,0.008327,0.011797,0.00954,6,-1.9282284205832445,-6.405436163695764,39
29,7,0.8,29,3.0,0.010321,0.015662,0.011645,0.008598,0.01186,0.009808,6,-1.9259153109717562,-6.397752179890808,39
412,7,0.8,99,3.0,0.00957,0.013029,0.010882,0.008873,0.011975,0.010276,6,-1.9217244779133993,-6.383830533813269,39
397,7,0.8,84,3.0,0.008298,0.012508,0.009649,0.008081,0.011981,0.009329,6,-1.921506931833427,-6.383107861378277,39
408,7,0.8,95,3.0,0.012889,0.014471,0.014224,0.010109,0.01199,0.011316,6,-1.9211808169011513,-6.382024531022588,39
370,7,0.8,57,3.0,0.008789,0.012183,0.010056,0.008256,0.012,0.009443,6,-1.9208187539523751,-6.380821783940931,39
394,7,0.8,81,3.0,0.010544,0.012375,0.01195,0.010383,0.012027,0.011587,6,-1.919842689029816,-6.377579366452247,39
364,7,0.8,51,3.0,0.007996,0.011807,0.009298,0.007997,0.012101,0.00917,6,-1.9171787390606707,-6.3687299162063695,39
366,7,0.8,53,3.0,0.011261,0.01538,0.012562,0.008859,0.012108,0.010046,6,-1.9169275877154646,-6.367895609496661,39
390,7,0.8,77,3.0,0.00818,0.012084,0.009503,0.014251,0.012305,0.015426,6,-1.9099183819611787,-6.344611531978652,39
1326,9,0.8,54,3.0,0.014588,0.012938,0.016087,0.013274,0.012571,0.014868,9,-1.9006301736101616,-6.313756771706241,65
39,7,0.8,39,3.0,0.010418,0.012191,0.012222,0.012538,0.012753,0.015865,6,-1.8943876403132147,-6.293019524963843,39
361,7,0.8,48,3.0,0.008369,0.012373,0.009614,0.012961,0.013129,0.014134,6,-1.8817683516729726,-6.25109915549233,39
1365,9,0.8,93,3.0,0.010715,0.014194,0.012191,0.009238,0.013325,0.010558,9,-1.87533278230139,-6.229720656790273,65
74,9,0.8,33,3.0,0.010995,0.013998,0.012535,0.01079,0.013428,0.01235,9,-1.8719886674240251,-6.218611747626624,65
375,7,0.8,62,3.0,0.008272,0.011753,0.009564,0.009854,0.013729,0.011019,6,-1.8623610949772436,-6.186629644230097,39
383,7,0.8,70,3.0,0.009479,0.013357,0.010859,0.021445,0.013766,0.023452,6,-1.8611922347822856,-6.18274677470947,39
1367,9,0.8,95,3.0,0.014095,0.015318,0.01554,0.011635,0.014039,0.012942,9,-1.8526638259632624,-6.154416013848872,65
1316,9,0.8,44,3.0,0.010298,0.014197,0.011687,0.009973,0.014055,0.011302,9,-1.8521691500565405,-6.152772736056469,65
1332,9,0.8,60,3.0,0.015995,0.016996,0.017464,0.009383,0.014061,0.010676,9,-1.8519837917601274,-6.152156989123993,65
1353,9,0.8,81,3.0,0.025672,0.037415,0.027258,0.009487,0.014106,0.010754,9,-1.850596120491417,-6.147547244949997,65
411,7,0.8,98,3.0,0.010728,0.015678,0.012031,0.009538,0.014129,0.010659,6,-1.8498885748712182,-6.145196829275843,39
80,9,0.8,39,3.0,0.020013,0.06308,0.021412,0.00987,0.014143,0.011221,9,-1.849458458625914,-6.1437680140365,65
1334,9,0.8,62,3.0,0.053363,0.158111,0.054821,0.010363,0.014322,0.011739,9,-1.8439963306096019,-6.125623217521241,65
1349,9,0.8,77,3.0,0.014694,0.016524,0.019944,0.010527,0.014355,0.011885,9,-1.8429968031674753,-6.12230285922963,65
1369,9,0.8,97,3.0,0.016958,0.035713,0.018431,0.010614,0.014382,0.011956,9,-1.8421807155827026,-6.119591874953885,65
1336,9,0.8,64,3.0,0.011793,0.018663,0.013228,0.009811,0.014439,0.011101,9,-1.840462883602979,-6.113885360638146,65
1340,9,0.8,68,3.0,0.013458,0.020424,0.014913,0.011012,0.014469,0.012289,9,-1.839561483358455,-6.110890973841123,65
1339,9,0.8,67,3.0,0.010283,0.015292,0.011719,0.009706,0.014507,0.01105,9,-1.8384223889511293,-6.107106984126698,65
1325,9,0.8,53,3.0,0.010103,0.01449,0.011686,0.012027,0.014671,0.013362,9,-1.8335402829065166,-6.0908889788948795,65
40,7,0.8,40,3.0,0.012772,0.016827,0.01447,0.010672,0.014741,0.012089,6,-1.831473053807311,-6.08402179247166,39
1313,9,0.8,41,3.0,0.03052,0.080001,0.033161,0.011426,0.014949,0.012836,9,-1.8253878581092806,-6.063807209919485,65
1337,9,0.8,65,3.0,0.010168,0.014826,0.011743,0.010215,0.014997,0.011568,9,-1.8239956085277473,-6.059182256919495,65
1357,9,0.8,85,3.0,0.010142,0.014641,0.011583,0.011312,0.015003,0.012596,9,-1.8238218907326698,-6.058605178895445,65
1328,9,0.8,56,3.0,0.040889,0.07371,0.042963,0.010485,0.015115,0.011785,9,-1.820591848486164,-6.047875210809105,65
49,9,0.8,8,3.0,0.014404,0.016402,0.01625,0.015519,0.015343,0.016838,9,-1.8140897149592856,-6.026275590769457,65
1354,9,0.8,82,3.0,0.011581,0.01587,0.01336,0.013844,0.015505,0.016357,9,-1.8095282294266548,-6.01112266382419,65
55,9,0.8,14,3.0,0.044523,0.143777,0.046239,0.012908,0.015774,0.015218,9,-1.8020581635099937,-5.986307641984972,65
1347,9,0.8,75,3.0,0.023285,0.050735,0.028109,0.012464,0.015783,0.014476,9,-1.8018104434831785,-5.985484733868229,65
1342,9,0.8,70,3.0,0.011978,0.016511,0.013421,0.013636,0.015835,0.014951,9,-1.8003819322920693,-5.980739322408622,65
385,7,0.8,72,3.0,0.008015,0.012012,0.009293,0.010395,0.015858,0.011555,6,-1.799751586484646,-5.978645358961448,39
1363,9,0.8,91,3.0,0.013644,0.020802,0.015145,0.009788,0.015989,0.011131,9,-1.7961786974834502,-5.966776478608462,65
37,7,0.8,37,3.0,0.01299,0.018054,0.014369,0.014665,0.016085,0.016791,6,-1.7935789347620115,-5.958140253784073,39
2,7,0.8,2,3.0,0.012797,0.019493,0.014114,0.010955,0.016269,0.012235,6,-1.7886391408448825,-5.94173061358781,39
410,7,0.8,97,3.0,0.007927,0.011454,0.009198,0.021032,0.016315,0.022231,6,-1.7874129218761063,-5.937657202344948,39
402,7,0.8,89,3.0,0.008456,0.012076,0.009914,0.012354,0.016692,0.013521,6,-1.777491623960329,-5.904699364060779,39
356,7,0.8,43,3.0,0.007946,0.011851,0.009202,0.010192,0.016822,0.011363,6,-1.7741223713604817,-5.8935069491905745,39
357,7,0.8,44,3.0,0.012476,0.013838,0.013742,0.012786,0.016976,0.014422,6,-1.7701646334427346,-5.880359628409409,39
355,7,0.8,42,3.0,0.011623,0.013229,0.012881,0.010945,0.016998,0.012089,6,-1.7696021750959192,-5.878491182224919,39
1333,9,0.8,61,3.0,0.024567,0.050046,0.026504,0.015741,0.017004,0.017262,9,-1.7694489037049148,-5.877982025684999,65
371,7,0.8,58,3.0,0.008766,0.012865,0.010037,0.011008,0.017064,0.012341,6,-1.7679191575586277,-5.872900318983603,39
70,9,0.8,29,3.0,0.012193,0.016926,0.013686,0.012459,0.017087,0.013752,9,-1.7673341805685545,-5.870957067485416,65
369,7,0.8,56,3.0,0.007703,0.011316,0.008943,0.011031,0.017104,0.012164,6,-1.7669023121352971,-5.869522431603683,39
2284,11,0.8,53,3.0,0.012951,0.018248,0.014551,0.011586,0.017248,0.013002,13,-1.7632612564933554,-5.857427106571668,97
1,7,0.8,1,3.0,0.009134,0.011812,0.010489,0.012465,0.017256,0.013622,6,-1.7630598679055114,-5.85675810816372,39
25,7,0.8,25,3.0,0.013303,0.013292,0.014742,0.015717,0.017295,0.017288,6,-1.7620794336496197,-5.853501176063884,39
406,7,0.8,93,3.0,0.009451,0.012557,0.010832,0.010624,0.01734,0.011732,6,-1.7609509068598086,-5.849752291214976,39
2298,11,0.8,67,3.0,0.033196,0.075461,0.034879,0.01146,0.017351,0.01301,13,-1.760675490212203,-5.848837376915497,97
2324,11,0.8,93,3.0,0.011348,0.018103,0.012946,0.010951,0.017391,0.012495,14,-1.759675444909566,-5.845515298328506,97
2306,11,0.8,75,3.0,0.077985,0.122922,0.081031,0.01141,0.017406,0.012976,13,-1.7593010208136923,-5.84427148840502,97
388,7,0.8,75,3.0,0.007984,0.011721,0.009264,0.010481,0.017423,0.011729,6,-1.75887706337715,-5.842863132285534,39
103,11,0.8,21,3.0,0.06352,0.246263,0.065108,0.014912,0.017444,0.016636,13,-1.758353921998611,-5.841125294242568,97
32,7,0.8,32,3.0,0.011183,0.015803,0.012558,0.009905,0.01745,0.011008,6,-1.7582045687048014,-5.840629153339797,39
33,7,0.8,33,3.0,0.013381,0.016297,0.014662,0.009985,0.017463,0.011189,6,-1.757881145995457,-5.839554766355102,39
2315,11,0.8,84,3.0,0.152119,0.233425,0.153698,0.013048,0.017632,0.014472,13,-1.753698422828309,-5.825660060753017,97
365,7,0.8,52,3.0,0.008134,0.011933,0.009467,0.010263,0.017669,0.011463,6,-1.752788029257888,-5.82263579877403,39
2286,11,0.8,55,3.0,0.04342,0.083923,0.045076,0.011624,0.017704,0.013078,13,-1.7519285990807985,-5.819780833523162,97
17,7,0.8,17,3.0,0.009235,0.013091,0.010725,0.011008,0.017746,0.012165,6,-1.7508995228170776,-5.816362316170927,39
404,7,0.8,91,3.0,0.008546,0.012461,0.009865,0.01062,0.017776,0.01183,5,-1.7501659584032077,-5.813925467935082,39
14,7,0.8,14,3.0,0.009951,0.012402,0.01151,0.011684,0.01779,0.013206,6,-1.749824051916075,-5.812789679169652,39
2304,11,0.8,73,3.0,0.026379,0.052673,0.028017,0.014396,0.017803,0.015879,13,-1.7495068081593927,-5.811735818221401,97
10,7,0.8,10,3.0,0.008389,0.012089,0.01006,0.014435,0.017805,0.01567,6,-1.7494580219897276,-5.811573754073748,39
2312,11,0.8,81,3.0,0.071545,0.149388,0.073148,0.011554,0.017921,0.012961,13,-1.7466377601669314,-5.8022050470896644,97
382,7,0.8,69,3.0,0.010044,0.013303,0.011395,0.010392,0.017957,0.011554,6,-1.7457662173498538,-5.799309844519716,39
379,7,0.8,66,3.0,0.021864,0.012782,0.023388,0.014432,0.017977,0.015626,6,-1.745282781576772,-5.797703905643043,39
1371,9,0.8,99,3.0,0.013548,0.019402,0.014981,0.024233,0.017981,0.028214,9,-1.745186158965126,-5.797382932274815,65
18,7,0.8,18,3.0,0.018063,0.024307,0.019654,0.012421,0.018045,0.013603,6,-1.743643113604474,-5.7922570465395795,39
2272,11,0.8,41,3.0,0.066036,0.118879,0.067668,0.012755,0.01805,0.014165,13,-1.7435227937583233,-5.791857352662278,97
398,7,0.8,85,3.0,0.008861,0.012323,0.010129,0.010857,0.018106,0.013364,6,-1.742177483965524,-5.787388330265252,39
117,11,0.8,35,3.0,0.135248,0.635557,0.136997,0.011734,0.018189,0.013272,13,-1.740191177045371,-5.780789961502126,97
386,7,0.8,73,3.0,0.008336,0.011615,0.009615,0.010782,0.018211,0.011957,6,-1.739666205629697,-5.779046044207385,39
19,7,0.8,19,3.0,0.010062,0.012334,0.011364,0.012733,0.018323,0.013899,6,-1.737003418398506,-5.770200456493385,39
387,7,0.8,74,3.0,0.010924,0.012456,0.012235,0.010473,0.018342,0.011652,6,-1.7365533108902675,-5.768705231716048,39
1348,9,0.8,76,3.0,0.028171,0.047511,0.02966,0.015466,0.018344,0.016806,9,-1.7365059582781175,-5.768547929743381,65
381,7,0.8,68,3.0,0.008744,0.012377,0.010077,0.014952,0.01841,0.01634,6,-1.7349462114959853,-5.7633665630869055,39
2282,11,0.8,51,3.0,0.02106,0.0447,0.022775,0.01219,0.018422,0.013688,13,-1.7346632220320823,-5.762426492436209,97
401,7,0.8,88,3.0,0.007981,0.011702,0.00928,0.011426,0.018536,0.012566,6,-1.731983979218081,-5.753526240459352,39
15,7,0.8,15,3.0,0.009797,0.012168,0.011281,0.01173,0.018555,0.012908,6,-1.731539041315198,-5.752048188739286,39
69,9,0.8,28,3.0,0.009423,0.012968,0.010955,0.01146,0.018561,0.012749,9,-1.7313986292603367,-5.751581749989381,65
31,7,0.8,31,3.0,0.022698,0.016145,0.024067,0.010698,0.018568,0.011925,6,-1.7312348725521387,-5.751037761979692,39
413,7,0.8,100,3.0,0.018571,0.023878,0.019979,0.012226,0.018602,0.01376,6,-1.7304403599611793,-5.748398448282042,39
2276,11,0.8,45,3.0,0.029719,0.068184,0.03135,0.012948,0.018603,0.014387,14,-1.7304170139333868,-5.748320894456414,97
405,7,0.8,92,3.0,0.012708,0.013205,0.014051,0.012627,0.018608,0.013793,6,-1.7303003026156267,-5.747933187850956,39
2313,11,0.8,82,3.0,0.035025,0.08223,0.036665,0.014676,0.018649,0.01671,13,-1.729344451047015,-5.744757917670642,97
35,7,0.8,35,3.0,0.008566,0.011698,0.009877,0.011781,0.018656,0.013171,6,-1.7291814669210799,-5.744216496123678,39
395,7,0.8,82,3.0,0.008208,0.011764,0.009614,0.015551,0.018664,0.016971,6,-1.7289952742143038,-5.743597977339975,39
89,11,0.8,7,3.0,0.175469,0.558446,0.179255,0.011763,0.01869,0.013196,13,-1.728390698621168,-5.741589620691654,97
359,7,0.8,46,3.0,0.008564,0.013041,0.009869,0.010673,0.018788,0.011836,6,-1.7261194484887887,-5.734044691066386,39
20,7,0.8,20,3.0,0.0104,0.015062,0.012098,0.011409,0.018789,0.012584,6,-1.7260963335790298,-5.733967904998248,39
2314,11,0.8,83,3.0,0.024575,0.066008,0.026225,0.015261,0.018871,0.016692,13,-1.724205085368997,-5.727685314434934,97
377,7,0.8,64,3.0,0.010093,0.012488,0.011405,0.020149,0.018879,0.021368,6,-1.724021013532852,-5.7270738410309665,39
2330,11,0.8,99,3.0,0.013362,0.02046,0.015067,0.012419,0.018913,0.013884,14,-1.7232395774422224,-5.724477966527146,97
1351,9,0.8,79,3.0,0.011093,0.014638,0.012577,0.011536,0.018935,0.012833,9,-1.7227346905431549,-5.722800768552393,65
1315,9,0.8,43,3.0,0.010064,0.014949,0.011516,0.013764,0.018959,0.015054,9,-1.722184573429135,-5.720973319055851,65
2287,11,0.8,56,3.0,0.050562,0.135179,0.05262,0.012679,0.018959,0.014219,13,-1.722184573429135,-5.720973319055851,97
0,7,0.8,0,3.0,0.008805,0.012356,0.010078,0.012208,0.019004,0.01345,6,-1.7211549782528321,-5.717553077913331,39
378,7,0.8,65,3.0,0.009554,0.012544,0.011051,0.023365,0.019007,0.024638,6,-1.721086425284038,-5.717325349880306,39
376,7,0.8,63,3.0,0.007886,0.011879,0.009355,0.011439,0.019008,0.012682,6,-1.7210635766989004,-5.717249448523408,39
86,11,0.8,4,3.0,0.183886,0.424561,0.185496,0.012282,0.019016,0.013941,13,-1.7208808312798762,-5.716642381381739,97
