L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
21,0.8,0,1.415,1,0.264547,0.446193,0.266621,0.225768,0.383261,0.22768,112
21,0.8,0,1.415,2,0.129114,0.28908,0.131017,0.125553,0.271181,0.127298,117
21,0.8,0,1.415,3,0.180249,0.571114,0.1821,0.179572,0.562012,0.181307,119
21,0.8,0,1.415,4,0.176607,0.617449,0.178498,0.176573,0.505794,0.178481,126
21,0.8,0,1.415,5,0.192059,0.627433,0.193957,0.183648,0.627088,0.185394,130
21,0.8,0,1.415,6,0.346813,1.387019,0.348853,0.385043,1.2754,0.386878,133
21,0.8,0,1.415,7,0.690565,3.485683,0.69276,0.590179,3.401161,0.592122,135
21,0.8,0,1.415,8,0.513975,2.468914,0.516201,0.533846,2.477627,0.535995,138
21,0.8,0,1.415,9,0.676628,3.653801,0.678665,0.285104,1.828776,0.286962,140
21,0.8,0,1.415,10,1.138303,6.924769,1.140312,1.072656,6.787544,1.074886,143
21,0.8,0,1.415,11,3.281972,20.912961,3.28403,2.5009,17.34538,2.502681,143
21,0.8,0,1.415,12,5.28466,38.032528,5.286582,4.277279,30.786143,4.279101,144
21,0.8,0,1.415,13,17.687135,130.872642,17.68927,2.710955,18.077241,2.712743,143
21,0.8,0,1.415,14,16.65063,123.321657,16.652709,18.416023,136.904986,18.41783,144
21,0.8,0,1.415,15,22.995336,169.865174,22.997344,17.065724,126.703026,17.067483,144
21,0.8,0,1.415,16,25.669419,190.713993,25.671311,4.648113,33.500533,4.649869,144
21,0.8,0,1.415,17,22.116551,165.863097,22.11848,18.288964,135.764498,18.290747,145
21,0.8,0,1.415,18,15.624074,115.320122,15.626016,11.573848,85.669156,11.575883,146
21,0.8,0,1.415,19,15.147645,109.388363,15.149549,9.360355,66.987062,9.362084,146
21,0.8,0,1.415,20,12.72839,89.513329,12.73038,4.064883,28.337112,4.066732,146
21,0.8,1,1.415,1,0.027041,0.032626,0.029064,0.022698,0.035915,0.024539,114
21,0.8,1,1.415,2,0.078171,0.17798,0.080064,0.051478,0.138252,0.053316,118
21,0.8,1,1.415,3,0.166036,0.314475,0.167951,0.1653,0.304844,0.167017,120
21,0.8,1,1.415,4,0.184253,0.44072,0.186396,0.173138,0.438245,0.175183,125
21,0.8,1,1.415,5,0.202568,0.772747,0.204539,0.333564,0.986873,0.335302,127
21,0.8,1,1.415,6,0.538604,3.080678,0.540555,0.620402,3.255562,0.622435,131
21,0.8,1,1.415,7,0.477412,1.83091,0.479476,0.281242,1.528461,0.288904,136
21,0.8,1,1.415,8,2.041555,13.775626,2.043512,1.431199,9.283974,1.433256,136
21,0.8,1,1.415,9,10.991156,81.455625,10.993285,2.989327,20.818916,2.991076,137
21,0.8,1,1.415,10,5.485514,40.350547,5.487477,2.872304,20.542849,2.874107,138
21,0.8,1,1.415,11,13.190051,95.400995,13.191985,2.629998,18.435951,2.631817,140
21,0.8,1,1.415,12,26.053276,192.404887,26.055135,13.17154,95.669495,13.173356,139
21,0.8,1,1.415,13,50.219182,376.012392,50.221323,2.007987,13.263359,2.009824,140
21,0.8,1,1.415,14,23.936163,176.900513,23.938731,2.074813,14.54261,2.076632,142
21,0.8,1,1.415,15,17.420846,128.057936,17.422822,3.612574,25.370981,3.614322,143
21,0.8,1,1.415,16,27.104698,202.23405,27.106587,13.316339,97.514191,13.318233,143
21,0.8,1,1.415,17,22.421178,166.590896,22.423111,2.534696,16.373054,2.536577,143
21,0.8,1,1.415,18,56.026409,425.509874,56.028402,7.253272,54.915522,7.255104,141
21,0.8,1,1.415,19,55.097219,419.461439,55.099683,46.4402,353.204531,46.442056,142
21,0.8,1,1.415,20,207.025673,1541.691911,207.027772,17.164895,125.899593,17.166817,140
21,0.8,2,1.415,1,0.03318,0.069313,0.035105,0.043482,0.094191,0.045338,112
21,0.8,2,1.415,2,0.022767,0.035759,0.024641,0.027885,0.047295,0.029621,117
21,0.8,2,1.415,3,0.141083,0.306615,0.143034,0.111225,0.270844,0.113824,123
21,0.8,2,1.415,4,0.188649,0.536464,0.190916,0.178201,0.562587,0.179964,127
21,0.8,2,1.415,5,0.565498,2.766249,0.567423,0.597754,2.7453,0.599637,130
21,0.8,2,1.415,6,0.741725,3.786629,0.743644,0.478263,3.171917,0.480052,132
21,0.8,2,1.415,7,1.942751,12.288697,1.944692,0.248742,1.597476,0.250524,133
21,0.8,2,1.415,8,2.211248,13.624999,2.213166,0.463695,3.175798,0.465449,135
21,0.8,2,1.415,9,3.945592,28.011361,3.947543,0.550906,3.611751,0.55265,136
21,0.8,2,1.415,10,3.598569,24.75965,3.600581,3.204773,22.336779,3.206579,139
21,0.8,2,1.415,11,2.79169,18.313333,2.793679,1.098183,7.220249,1.100051,142
21,0.8,2,1.415,12,14.57006,106.946414,14.572017,12.82745,95.954376,12.829252,142
21,0.8,2,1.415,13,50.489698,387.261892,50.491799,30.997194,234.626964,30.99906,140
21,0.8,2,1.415,14,19.309471,145.029441,19.311492,13.068045,97.919703,13.069873,144
21,0.8,2,1.415,15,14.24982,107.626014,14.251743,17.30917,130.940769,17.310984,144
21,0.8,2,1.415,16,18.927469,139.43228,18.930365,19.541374,146.668953,19.543159,144
21,0.8,2,1.415,17,31.458384,236.536101,31.460412,20.779422,156.102681,20.781381,142
21,0.8,2,1.415,18,27.951518,211.594816,27.953527,11.045328,80.673026,11.047105,142
21,0.8,2,1.415,19,45.362379,348.392216,45.364289,22.957616,172.122569,22.959473,142
21,0.8,2,1.415,20,55.195347,424.565977,55.197349,19.3593,145.238146,19.361156,142
21,0.8,3,1.415,1,0.351612,0.453033,0.353627,0.153283,0.269805,0.155155,111
21,0.8,3,1.415,2,0.043364,0.106392,0.045331,0.044203,0.104468,0.046036,117
21,0.8,3,1.415,3,0.050299,0.139716,0.052251,0.053021,0.177564,0.054828,124
21,0.8,3,1.415,4,0.186115,0.551653,0.188084,0.159395,0.467415,0.161202,123
21,0.8,3,1.415,5,0.231231,0.661585,0.23316,0.181252,0.632674,0.18303,129
21,0.8,3,1.415,6,0.700087,2.096997,0.702206,0.383482,1.595182,0.386788,130
21,0.8,3,1.415,7,0.966199,4.65351,0.968146,0.632979,3.520604,0.634967,133
21,0.8,3,1.415,8,2.143973,12.346301,2.146759,1.858717,11.277983,1.861465,135
21,0.8,3,1.415,9,0.928014,4.296087,0.929962,0.573355,3.014702,0.575122,139
21,0.8,3,1.415,10,2.377175,16.44822,2.379088,0.499249,3.269749,0.501105,139
21,0.8,3,1.415,11,2.625801,17.09801,2.627754,2.395759,17.066371,2.397557,141
21,0.8,3,1.415,12,10.770507,78.62245,10.772446,3.27944,22.510652,3.281219,141
21,0.8,3,1.415,13,4.384399,30.877795,4.386312,2.861289,19.600921,2.863253,142
21,0.8,3,1.415,14,25.364081,187.763328,25.366101,54.738208,418.115003,54.740644,140
21,0.8,3,1.415,15,41.854252,314.187691,41.85885,14.387503,106.874603,14.389374,139
21,0.8,3,1.415,16,51.319422,389.558453,51.32232,16.405743,120.336487,16.407623,141
21,0.8,3,1.415,17,20.181331,152.388716,20.18329,10.351669,75.295256,10.353511,142
21,0.8,3,1.415,18,20.185723,150.798254,20.187609,13.69346,100.69474,13.695278,143
21,0.8,3,1.415,19,18.5561,138.261519,18.558029,15.438723,113.485759,15.440619,143
21,0.8,3,1.415,20,23.814029,177.003121,23.816055,22.363558,168.675176,22.365479,141
21,0.8,4,1.415,1,0.013386,0.022853,0.015326,0.012716,0.021912,0.014505,113
21,0.8,4,1.415,2,0.018773,0.032785,0.020974,0.021007,0.030093,0.022907,119
21,0.8,4,1.415,3,0.079201,0.189945,0.081185,0.079423,0.199902,0.081264,122
21,0.8,4,1.415,4,0.246262,0.471738,0.249001,0.215747,0.435781,0.217485,125
21,0.8,4,1.415,5,0.289926,0.962515,0.292331,0.291746,0.900762,0.29597,127
21,0.8,4,1.415,6,0.279582,1.496429,0.281765,0.39102,1.551512,0.392947,129
21,0.8,4,1.415,7,2.046654,9.84709,2.048637,0.535502,3.587938,0.537297,133
21,0.8,4,1.415,8,1.770956,9.96077,1.773663,0.202845,1.290669,0.204631,136
21,0.8,4,1.415,9,1.611019,9.328158,1.61297,1.3525,8.824289,1.354431,140
21,0.8,4,1.415,10,1.996255,12.118641,1.998184,0.264718,1.55894,0.26649,141
21,0.8,4,1.415,11,1.498883,7.859903,1.501384,0.567999,3.845924,0.569754,144
21,0.8,4,1.415,12,7.065535,48.499732,7.067477,2.239354,14.130389,2.241206,141
21,0.8,4,1.415,13,3.656919,24.618493,3.658934,3.344876,23.1257,3.346659,143
21,0.8,4,1.415,14,15.260717,110.532047,15.262658,12.328615,89.730609,12.330399,142
21,0.8,4,1.415,15,6.931274,50.363769,6.933191,1.643558,10.735938,1.645331,143
21,0.8,4,1.415,16,17.464125,130.362802,17.466071,13.080591,96.476616,13.082428,142
21,0.8,4,1.415,17,27.63907,208.573981,27.641025,15.795283,116.906175,15.79708,141
21,0.8,4,1.415,18,34.600379,263.490316,34.602377,10.436583,74.744593,10.438426,140
21,0.8,4,1.415,19,25.814599,160.611447,25.81653,5.262944,33.530179,5.264689,141
21,0.8,4,1.415,20,7.210662,43.694599,7.212591,15.588407,98.21565,15.590227,144
21,0.8,5,1.415,1,0.019585,0.033177,0.021456,0.019507,0.032179,0.021219,115
21,0.8,5,1.415,2,0.029584,0.04993,0.03154,0.026029,0.045223,0.027727,121
21,0.8,5,1.415,3,0.132161,0.410921,0.134338,0.169643,0.538052,0.171793,121
21,0.8,5,1.415,4,0.186639,0.617337,0.188542,0.193895,0.687697,0.195697,126
21,0.8,5,1.415,5,0.374372,1.571079,0.376339,0.357415,1.578773,0.359268,129
21,0.8,5,1.415,6,0.780086,3.572344,0.783111,0.682844,3.614542,0.685537,132
21,0.8,5,1.415,7,1.505892,8.796917,1.507842,1.057966,6.965278,1.059769,134
21,0.8,5,1.415,8,10.254423,75.102726,10.256457,0.972843,6.358465,0.974833,133
