L N d seed D_(MIS-1) D_MIS MIS
11 97 0.8 0 497025 2748 30
11 97 0.8 1 377014 6552 30
11 97 0.8 2 130112 1440 30
11 97 0.8 3 987752 16512 31
11 97 0.8 4 2372 18 33
11 97 0.8 5 2214867 25126 30
11 97 0.8 6 82098 810 32
11 97 0.8 7 16412 180 33
11 97 0.8 8 146877 1214 31
11 97 0.8 9 27952 266 32
11 97 0.8 10 5748 48 33
11 97 0.8 11 70794 342 31
11 97 0.8 12 77490 790 31
11 97 0.8 13 264152 2836 31
11 97 0.8 14 15178 171 31
11 97 0.8 15 951297 17702 31
11 97 0.8 16 18192 128 32
11 97 0.8 17 4470 24 32
11 97 0.8 18 148902 1755 30
11 97 0.8 19 82003 881 32
11 97 0.8 20 61981 520 32
11 97 0.8 21 939144 13888 30
11 97 0.8 22 2445730 36036 30
11 97 0.8 23 69285 682 30
11 97 0.8 24 3582 10 31
11 97 0.8 25 258869 3840 31
11 97 0.8 26 574413 6982 31
11 97 0.8 27 190310 2697 31
11 97 0.8 28 316695 2950 31
11 97 0.8 29 29645 203 32
11 97 0.8 30 9768 120 32
11 97 0.8 31 30570 354 31
11 97 0.8 32 202109 2296 32
11 97 0.8 33 14958 168 31
11 97 0.8 34 743648 10406 31
11 97 0.8 35 1021564 16095 31
11 97 0.8 36 28986 274 32
11 97 0.8 37 1611015 11300 30
11 97 0.8 38 27928 280 32
11 97 0.8 39 176612 2292 32
11 97 0.8 40 1057798 16396 31
11 97 0.8 41 3037366 36024 29
11 97 0.8 42 21668 252 32
11 97 0.8 43 5764267 113112 30
11 97 0.8 44 2195110 27816 30
11 97 0.8 45 404896 6003 32
11 97 0.8 46 960784 12672 30
11 97 0.8 47 175630 2104 31
11 97 0.8 48 10517078 175476 29
11 97 0.8 49 319038 4840 32
11 97 0.8 50 109975 1585 32
11 97 0.8 51 1545 12 33
11 97 0.8 52 1868855 24508 30
11 97 0.8 53 152862 2010 32
11 97 0.8 54 20404 240 33
11 97 0.8 55 9650 100 33
