L,Density,Seed,UDG Radius,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
21,0.8,0,1.0,0.014452,0.02242,0.016169,0.013509,0.021007,0.015118,179
21,0.8,1,1.0,0.014626,0.021976,0.016274,0.021824,0.028255,0.023537,181
21,0.8,2,1.0,0.015276,0.023032,0.016924,0.013827,0.018603,0.015356,181
21,0.8,3,1.0,0.015325,0.021764,0.016891,0.012642,0.019975,0.014139,178
21,0.8,4,1.0,0.012773,0.019484,0.014435,0.018812,0.023249,0.020346,182
21,0.8,5,1.0,0.011204,0.015918,0.013101,0.015017,0.015829,0.017062,188
21,0.8,6,1.0,0.014404,0.01851,0.016042,0.014916,0.017744,0.016517,187
21,0.8,7,1.0,0.015098,0.022364,0.016705,0.020907,0.026312,0.022679,181
21,0.8,8,1.0,0.011411,0.018293,0.013112,0.015024,0.021658,0.016618,183
21,0.8,9,1.0,0.017814,0.02177,0.020063,0.014308,0.021564,0.017109,185
21,0.8,10,1.0,0.015092,0.023214,0.016768,0.020664,0.031105,0.023241,179
21,0.8,11,1.0,0.013108,0.021618,0.01478,0.012653,0.019747,0.014244,180
21,0.8,12,1.0,0.013524,0.019372,0.015124,0.014625,0.019066,0.01611,181
21,0.8,13,1.0,0.011403,0.01926,0.013061,0.013335,0.018787,0.014842,184
21,0.8,14,1.0,0.012653,0.019689,0.014335,0.016756,0.019114,0.018297,184
21,0.8,15,1.0,0.016548,0.026284,0.018156,0.011833,0.019361,0.013353,183
21,0.8,16,1.0,0.013456,0.020231,0.015099,0.016016,0.019616,0.017943,179
21,0.8,17,1.0,0.015155,0.021477,0.017025,0.015359,0.019984,0.017452,183
21,0.8,18,1.0,0.016367,0.024125,0.018061,0.014954,0.019487,0.01702,179
21,0.8,19,1.0,0.012289,0.020921,0.013959,0.012363,0.019783,0.013891,178
21,0.8,20,1.0,0.017344,0.027508,0.019456,0.012837,0.018486,0.014393,181
21,0.8,21,1.0,0.013466,0.020612,0.015384,0.016454,0.021565,0.018147,181
21,0.8,22,1.0,0.016704,0.020149,0.019275,0.020476,0.021875,0.022212,182
21,0.8,23,1.0,0.014566,0.022443,0.016409,0.016311,0.021696,0.018098,180
21,0.8,24,1.0,0.012243,0.020831,0.013916,0.012385,0.01849,0.013919,180
21,0.8,25,1.0,0.0134,0.021536,0.015038,0.014732,0.02335,0.016263,179
21,0.8,26,1.0,0.0131,0.020888,0.014795,0.013751,0.022287,0.01531,179
21,0.8,27,1.0,0.016056,0.020927,0.017767,0.013119,0.017989,0.015036,185
21,0.8,28,1.0,0.011946,0.019614,0.013602,0.011958,0.01953,0.013495,183
21,0.8,29,1.0,0.018918,0.026878,0.020567,0.01996,0.028266,0.021657,180
21,0.8,30,1.0,0.017211,0.021324,0.01888,0.026497,0.028619,0.028042,183
21,0.8,31,1.0,0.01371,0.019433,0.015424,0.034567,0.028095,0.036259,181
21,0.8,32,1.0,0.011568,0.018823,0.013166,0.0183,0.022638,0.019815,180
21,0.8,33,1.0,0.013329,0.021099,0.014959,0.013408,0.019562,0.014942,183
21,0.8,34,1.0,0.011758,0.017341,0.013432,0.013613,0.017411,0.015147,181
21,0.8,35,1.0,0.019139,0.024422,0.020737,0.018059,0.0237,0.019628,183
21,0.8,36,1.0,0.012841,0.018058,0.014522,0.01351,0.017295,0.015069,185
21,0.8,37,1.0,0.012264,0.02002,0.013868,0.012942,0.019542,0.014539,183
21,0.8,38,1.0,0.011342,0.019079,0.012949,0.011196,0.017581,0.01283,185
21,0.8,39,1.0,0.011669,0.019549,0.013316,0.011935,0.018817,0.013457,181
21,0.8,40,1.0,0.032877,0.025058,0.034888,0.012845,0.020839,0.014421,180
21,0.8,41,1.0,0.02734,0.027186,0.033846,0.012285,0.019248,0.013819,181
21,0.8,42,1.0,0.017275,0.023649,0.019284,0.019794,0.027936,0.021599,179
