L,Density,Seed,UDG Radius,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
21,0.8,41,11.314,0.335974,0.357066,0.352367,0.342641,0.360627,0.35974,6
21,0.8,42,11.314,0.379456,0.400978,0.396856,0.37417,0.394049,0.391803,6
21,0.8,43,11.314,0.510644,0.433195,0.555396,0.378463,0.402161,0.395118,6
21,0.8,44,11.314,0.386818,0.398129,0.404486,0.372381,0.393036,0.389368,6
21,0.8,45,11.314,0.400298,0.421391,0.417645,0.401772,0.421583,0.4187,6
21,0.8,46,11.314,0.365483,0.381811,0.383076,0.364592,0.380136,0.382339,6
21,0.8,47,11.314,0.3752,0.417875,0.392346,0.383934,0.419915,0.400982,6
21,0.8,48,11.314,0.362047,0.376916,0.379133,0.350153,0.37102,0.366956,6
21,0.8,49,11.314,0.359212,0.381477,0.375989,0.352303,0.373,0.369134,6
21,0.8,50,11.314,0.40104,0.404763,0.419554,0.422123,0.416824,0.441225,6
21,0.8,51,11.314,0.376326,0.388642,0.393417,0.365626,0.386377,0.382894,6
21,0.8,52,11.314,0.361119,0.382293,0.378015,0.361761,0.381647,0.378406,6
21,0.8,53,11.314,0.368821,0.40678,0.385571,0.375601,0.417871,0.392276,6
21,0.8,54,11.314,0.362605,0.384216,0.380197,0.362733,0.384223,0.379805,6
21,0.8,55,11.314,0.451153,0.400304,0.471993,0.358542,0.37599,0.375512,6
21,0.8,56,11.314,0.370802,0.392607,0.38826,0.36802,0.389523,0.385046,6
21,0.8,57,11.314,0.344751,0.365278,0.361754,0.341507,0.363399,0.358674,6
21,0.8,58,11.314,0.435995,0.420012,0.457051,0.39294,0.413692,0.409842,6
21,0.8,59,11.314,0.36509,0.384664,0.382261,0.362472,0.383432,0.379776,6
21,0.8,60,11.314,0.416156,0.437472,0.43347,0.41687,0.438618,0.434045,6
21,0.8,61,11.314,0.402498,0.397258,0.420018,0.392186,0.396465,0.411556,6
21,0.8,62,11.314,0.347187,0.369212,0.36467,0.348228,0.36919,0.365325,6
21,0.8,63,11.314,0.477474,0.416939,0.497707,0.374375,0.395091,0.391376,6
21,0.8,64,11.314,0.38082,0.400693,0.398105,0.38002,0.400978,0.397207,6
21,0.8,65,11.314,0.428661,0.425018,0.446765,0.397934,0.419706,0.415231,6
21,0.8,66,11.314,0.504719,0.419036,0.5319,0.636714,0.437746,0.658234,6
21,0.8,67,11.314,0.347059,0.373214,0.363904,0.330492,0.35091,0.347166,6
21,0.8,68,11.314,0.377574,0.39501,0.394916,0.657268,0.444719,0.676297,6
21,0.8,69,11.314,0.423209,0.538895,0.441922,0.378318,0.4045,0.396987,6
21,0.8,70,11.314,0.408647,0.429941,0.425939,0.402888,0.425061,0.420033,6
21,0.8,71,11.314,0.389909,0.408914,0.407498,0.392745,0.410318,0.409956,6
21,0.8,72,11.314,0.393954,0.398202,0.412015,0.399216,0.397766,0.417366,6
21,0.8,73,11.314,0.442454,0.435118,0.463999,0.414777,0.41972,0.435927,6
21,0.8,74,11.314,0.373435,0.394377,0.390681,0.372139,0.392947,0.389311,6
21,0.8,75,11.314,0.461939,0.434524,0.482593,0.406066,0.430707,0.425521,6
21,0.8,76,11.314,0.348376,0.364583,0.364958,0.355796,0.371073,0.373267,6
21,0.8,77,11.314,0.362084,0.37504,0.378955,0.366546,0.385356,0.384647,6
21,0.8,78,11.314,0.380628,0.396581,0.397336,0.379278,0.403828,0.396008,6
21,0.8,79,11.314,0.396878,0.403675,0.415747,0.406436,0.414283,0.424805,6
21,0.8,80,11.314,0.372135,0.393166,0.388849,0.371593,0.392316,0.388077,6
21,0.8,81,11.314,0.424223,0.402459,0.441326,0.376983,0.393234,0.39336,6
21,0.8,82,11.314,0.346794,0.364575,0.363473,0.341559,0.361255,0.357908,6
21,0.8,83,11.314,0.340993,0.358191,0.358087,0.336399,0.356122,0.353194,6
21,0.8,84,11.314,0.486878,0.373589,0.50347,0.349725,0.36925,0.366122,6
21,0.8,85,11.314,0.385239,0.405899,0.402387,0.385581,0.405846,0.402371,6
21,0.8,86,11.314,0.335275,0.355897,0.352048,0.335701,0.355818,0.352238,6
21,0.8,87,11.314,0.442629,0.438177,0.461732,0.446589,0.443388,0.465364,6
21,0.8,88,11.314,0.410241,0.434753,0.428742,0.399581,0.417175,0.418672,6
21,0.8,89,11.314,0.383261,0.404846,0.400288,0.381036,0.400918,0.398161,6
21,0.8,90,11.314,0.362825,0.38421,0.379814,0.363311,0.383139,0.38008,6
21,0.8,91,11.314,0.378353,0.41513,0.395466,0.481735,0.727207,0.498891,6
21,0.8,92,11.314,0.338882,0.358967,0.355317,0.339145,0.359184,0.355539,6
21,0.8,93,11.314,0.353959,0.374039,0.37119,0.359521,0.374086,0.378491,6
21,0.8,94,11.314,0.367343,0.389848,0.38468,0.367584,0.389808,0.384783,6
21,0.8,95,11.314,0.364953,0.375774,0.383661,0.351723,0.369236,0.3694,6
21,0.8,96,11.314,0.405148,0.383355,0.428606,0.341592,0.362612,0.358124,6
21,0.8,97,11.314,0.418007,0.387924,0.436712,0.360502,0.382103,0.377485,6
21,0.8,98,11.314,0.357455,0.378015,0.374603,0.357388,0.378158,0.374352,6
21,0.8,99,11.314,0.555418,0.366745,0.572527,0.422506,0.376815,0.440759,6
21,0.8,41,11.402,0.450993,0.372056,0.480647,0.435835,0.356285,0.46172,6
21,0.8,42,11.402,0.369148,0.367046,0.394732,0.344807,0.371251,0.361549,6
21,0.8,43,11.402,0.345301,0.364147,0.362767,0.427894,0.373009,0.450752,6
21,0.8,44,11.402,0.409418,0.373133,0.427196,0.344865,0.365648,0.362542,6
21,0.8,45,11.402,0.357976,0.378602,0.375964,0.368035,0.379873,0.386474,6
21,0.8,46,11.402,0.326803,0.34869,0.34498,0.327543,0.350425,0.345728,6
21,0.8,47,11.402,0.335213,0.356265,0.353047,0.333721,0.353974,0.351396,6
21,0.8,48,11.402,0.316416,0.336672,0.334204,0.320053,0.343556,0.337746,6
21,0.8,49,11.402,0.49877,0.349957,0.530954,0.310018,0.330275,0.326974,6
21,0.8,50,11.402,0.356576,0.392827,0.374226,0.358498,0.389512,0.376407,6
21,0.8,51,11.402,0.352472,0.37385,0.370481,0.354118,0.374396,0.371852,6
21,0.8,52,11.402,0.350823,0.372692,0.368428,0.358711,0.377225,0.376104,6
21,0.8,53,11.402,0.343985,0.3669,0.361718,0.341328,0.363123,0.358739,6
21,0.8,54,11.402,0.363812,0.386365,0.382991,0.362972,0.383272,0.381075,6
21,0.8,55,11.402,0.329285,0.349855,0.346642,0.329234,0.348948,0.346163,6
21,0.8,56,11.402,0.332125,0.352107,0.349116,0.331256,0.35147,0.34843,6
21,0.8,57,11.402,0.329714,0.350451,0.346978,0.33525,0.350397,0.352299,6
21,0.8,58,11.402,0.357492,0.370395,0.375718,0.351404,0.368848,0.369518,6
21,0.8,59,11.402,0.346456,0.367611,0.364704,0.349967,0.368175,0.367993,6
21,0.8,60,11.402,0.374929,0.395707,0.39251,0.419541,0.421647,0.439481,6
21,0.8,61,11.402,0.348775,0.368722,0.366215,0.346684,0.367154,0.364686,6
21,0.8,62,11.402,0.331513,0.351965,0.348899,0.336854,0.3565,0.353829,6
21,0.8,63,11.402,0.355533,0.375389,0.372841,0.357494,0.381499,0.374669,6
21,0.8,64,11.402,0.359847,0.366123,0.381974,0.338846,0.360407,0.356603,6
21,0.8,65,11.402,0.404056,0.380068,0.424571,0.35123,0.368485,0.369369,6
21,0.8,66,11.402,0.330241,0.351556,0.347722,0.335617,0.35627,0.353206,6
21,0.8,67,11.402,0.319527,0.341452,0.336731,0.319026,0.336153,0.336393,6
21,0.8,68,11.402,0.359812,0.381478,0.378696,0.360485,0.380016,0.378148,6
21,0.8,69,11.402,0.307389,0.332303,0.324757,0.3112,0.33352,0.328937,6
21,0.8,70,11.402,0.342383,0.363783,0.360556,0.343712,0.367347,0.361063,6
21,0.8,71,11.402,0.390285,0.400562,0.40906,0.368199,0.388709,0.385993,6
21,0.8,72,11.402,0.334978,0.370384,0.352131,0.33775,0.37445,0.35459,6
21,0.8,73,11.402,0.431901,0.431355,0.458086,0.384485,0.417523,0.402873,6
21,0.8,74,11.402,0.339678,0.357126,0.357687,0.336628,0.35631,0.353581,6
21,0.8,75,11.402,0.34784,0.368885,0.365463,0.373064,0.383233,0.391314,6
21,0.8,76,11.402,0.318312,0.334418,0.335779,0.325797,0.336467,0.344234,6
21,0.8,77,11.402,0.354882,0.375645,0.372666,0.42853,0.397686,0.447706,6
21,0.8,78,11.402,0.332859,0.352254,0.350488,0.330881,0.351364,0.348379,6
21,0.8,79,11.402,0.377488,0.367953,0.397111,0.341234,0.363683,0.358416,6
21,0.8,80,11.402,0.342583,0.364883,0.360082,0.340717,0.35824,0.35914,6
21,0.8,81,11.402,0.371009,0.391744,0.388182,0.371177,0.391809,0.388333,6
21,0.8,82,11.402,0.335943,0.356207,0.353662,0.322827,0.343193,0.340563,6
21,0.8,83,11.402,0.360379,0.37734,0.378001,0.353484,0.37336,0.370477,6
21,0.8,84,11.402,0.323133,0.343657,0.340618,0.320938,0.340829,0.338107,6
21,0.8,85,11.402,0.343634,0.364081,0.36112,0.347938,0.372664,0.365363,6
21,0.8,86,11.402,0.330788,0.351303,0.348099,0.330738,0.351543,0.349088,6
21,0.8,87,11.402,0.359902,0.378207,0.3777,0.36457,0.383028,0.382357,6
21,0.8,88,11.402,0.370581,0.392308,0.388608,0.366028,0.387311,0.383884,6
21,0.8,89,11.402,0.358737,0.378977,0.37623,0.361398,0.385928,0.37874,6
21,0.8,90,11.402,0.340321,0.361228,0.3585,0.344601,0.368567,0.362303,6
21,0.8,91,11.402,0.346057,0.3879,0.363461,0.362323,0.429424,0.380219,6
21,0.8,92,11.402,0.313318,0.333976,0.330128,0.313706,0.333865,0.330655,6
21,0.8,93,11.402,0.327123,0.348654,0.345083,0.333975,0.357634,0.35132,6
21,0.8,94,11.402,0.354832,0.374293,0.372674,0.352325,0.373484,0.370049,6
21,0.8,95,11.402,0.502949,0.402583,0.523532,0.395854,0.449681,0.415146,6
21,0.8,96,11.402,0.329627,0.34967,0.346622,0.336385,0.358446,0.353037,6
21,0.8,97,11.402,0.423642,0.376985,0.441758,0.353323,0.376875,0.370977,6
21,0.8,98,11.402,0.352664,0.356012,0.371251,0.355848,0.365516,0.375316,6
21,0.8,99,11.402,0.328993,0.350096,0.346257,0.32163,0.342482,0.33869,6
21,0.8,41,11.662,0.451077,0.948051,0.468284,0.33444,0.368159,0.351429,6
21,0.8,42,11.662,0.342907,0.360919,0.360456,0.343493,0.367458,0.360975,6
21,0.8,43,11.662,0.327167,0.348042,0.34566,0.32903,0.354607,0.347129,6
21,0.8,44,11.662,0.350976,0.372621,0.369391,0.35061,0.376126,0.36897,6
