L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
21,0.8,0,1.415,1,0.051758,0.101775,0.05369,0.047231,0.09279,0.049299,114
21,0.8,0,1.415,2,0.178238,0.281358,0.183774,0.184204,0.287742,0.185997,117
21,0.8,0,1.415,3,0.179859,0.487975,0.181767,0.191898,0.481284,0.193763,121
21,0.8,0,1.415,4,0.443361,1.47089,0.445247,0.25982,1.240114,0.261625,123
21,0.8,0,1.415,5,1.435945,6.818353,1.438179,0.541689,3.560187,0.543487,125
21,0.8,0,1.415,6,2.845754,17.864327,2.848107,4.656777,34.591245,4.65868,126
21,0.8,0,1.415,7,15.785986,116.681456,15.787915,26.709535,198.520025,26.711344,127
21,0.8,0,1.415,8,4.010103,26.748625,4.012162,1.098677,7.367559,1.100567,131
21,0.8,0,1.415,9,13.990017,104.16039,13.99194,11.855268,87.263941,11.857149,132
21,0.8,0,1.415,10,30.610279,232.435174,30.612182,13.784209,103.029276,13.786006,132
21,0.8,0,1.415,11,54.777819,419.243431,54.779778,44.602642,340.157153,44.604511,134
21,0.8,0,1.415,12,125.25234,970.863675,125.254321,38.783268,294.509594,38.785165,133
21,0.8,0,1.415,13,276.662401,2146.618675,276.664535,106.449279,815.545803,106.451075,133
21,0.8,0,1.415,14,175.083912,1327.981128,175.086023,19.280695,140.732605,19.282717,134
21,0.8,0,1.415,15,114.977002,876.615973,114.979002,50.809341,377.532878,50.811251,136
21,0.8,0,1.415,16,126.452455,964.06009,126.454482,4.775909,34.976458,4.777961,137
21,0.8,0,1.415,17,357.781357,2795.564676,357.783379,50.051641,373.603876,50.053768,136
21,0.8,0,1.415,18,325.21663,2488.635268,325.218827,151.652006,1165.111871,151.653927,137
21,0.8,0,1.415,19,222.755952,1748.736747,222.758776,139.901067,1082.197915,139.902962,137
21,0.8,0,1.415,20,159.313087,1242.979956,159.315076,7.154674,54.109925,7.156506,137
21,0.8,1,1.415,1,0.101109,0.194785,0.103261,0.11443,0.242915,0.116307,112
21,0.8,1,1.415,2,0.198397,0.333405,0.200395,0.205951,0.364243,0.207747,116
21,0.8,1,1.415,3,0.26574,0.574821,0.269081,0.268606,0.647514,0.271778,121
21,0.8,1,1.415,4,0.185971,0.649589,0.188105,0.22719,0.780661,0.229019,124
21,0.8,1,1.415,5,0.453638,1.389814,0.455548,0.271643,1.094133,0.27363,126
21,0.8,1,1.415,6,0.355126,1.840706,0.357105,0.371832,1.899272,0.373615,128
21,0.8,1,1.415,7,2.155256,13.660238,2.157205,1.436314,9.987323,1.438165,129
21,0.8,1,1.415,8,10.646345,76.32589,10.648498,6.286756,44.096179,6.288585,131
21,0.8,1,1.415,9,35.5243,273.022236,35.526326,12.487727,92.224777,12.489616,131
21,0.8,1,1.415,10,53.250601,406.381041,53.2526,53.994203,409.354314,53.996104,132
21,0.8,1,1.415,11,190.480566,1488.532171,190.482571,23.49536,176.691993,23.497264,132
21,0.8,1,1.415,12,35.748399,269.023434,35.750316,18.038714,135.726008,18.040572,135
21,0.8,1,1.415,13,104.546476,801.928036,104.548415,7.876843,57.497045,7.878699,135
21,0.8,1,1.415,14,106.719874,828.259565,106.721922,63.707573,490.237319,63.709434,137
21,0.8,1,1.415,15,335.471378,2628.965305,335.478311,16.870466,125.800134,16.872418,135
21,0.8,1,1.415,16,198.514521,1545.244067,198.516489,17.5252,128.383533,17.527096,136
21,0.8,1,1.415,17,77.932098,597.577286,77.934143,30.944431,232.03998,30.946306,137
21,0.8,1,1.415,18,294.855661,2312.682831,294.85796,241.546731,1886.12174,241.548671,136
21,0.8,1,1.415,19,153.439199,1197.803885,153.441425,45.939515,352.253915,45.941333,136
21,0.8,1,1.415,20,236.99592,1850.9136,236.997916,53.664082,411.32372,53.665948,136
21,0.8,2,1.415,1,0.088436,0.2835,0.09045,0.043505,0.112647,0.045413,111
21,0.8,2,1.415,2,0.175847,0.416419,0.177844,0.150936,0.327525,0.153148,115
21,0.8,2,1.415,3,0.376041,1.105789,0.380782,0.329336,1.096958,0.331288,117
21,0.8,2,1.415,4,0.573186,3.301194,0.575075,0.279488,1.84523,0.28131,120
21,0.8,2,1.415,5,0.443892,2.459033,0.446017,0.262186,1.556178,0.263967,124
21,0.8,2,1.415,6,0.897035,4.520587,0.898994,0.665045,4.040653,0.666866,126
21,0.8,2,1.415,7,15.750743,120.502952,15.752859,7.744153,57.754904,7.746015,126
21,0.8,2,1.415,8,4.310649,30.505396,4.312652,1.293813,8.736787,1.295627,131
21,0.8,2,1.415,9,4.40216,31.704139,4.404179,0.203501,1.234244,0.205413,133
21,0.8,2,1.415,10,15.393946,109.02007,15.395869,2.778497,19.458334,2.780396,135
21,0.8,2,1.415,11,44.520487,341.051374,44.522504,14.770078,109.784918,14.771951,135
21,0.8,2,1.415,12,68.171477,523.335263,68.173459,8.125448,58.959833,8.127251,136
21,0.8,2,1.415,13,609.45927,4769.126184,609.461246,47.324666,358.216821,47.326509,134
21,0.8,2,1.415,14,494.021675,3859.346127,494.023742,344.250926,2655.754798,344.25281,135
21,0.8,2,1.415,15,501.19638,3905.454801,501.198338,24.538612,172.3894,24.540522,136
21,0.8,2,1.415,16,44.069503,332.383727,44.071452,17.627993,130.358739,17.630029,139
21,0.8,2,1.415,17,44.970233,343.471773,44.972238,56.110356,432.333073,56.112301,139
21,0.8,2,1.415,18,92.920942,716.215691,92.922889,2.770371,19.855421,2.7722,138
21,0.8,2,1.415,19,76.24638,590.569787,76.248438,7.89921,58.738841,7.901273,138
21,0.8,2,1.415,20,136.255369,1051.821482,136.257653,77.378944,594.767169,77.380888,137
21,0.8,3,1.415,1,0.1436,0.248786,0.145571,0.121234,0.227195,0.123065,110
21,0.8,3,1.415,2,0.31622,0.929517,0.318396,0.221355,0.595413,0.223195,114
21,0.8,3,1.415,3,0.166578,0.403435,0.168681,0.162429,0.388683,0.16424,119
21,0.8,3,1.415,4,0.337343,1.650555,0.339597,0.247436,1.444888,0.249387,120
21,0.8,3,1.415,5,0.421087,2.143312,0.42312,0.569419,2.397037,0.571273,125
21,0.8,3,1.415,6,2.513925,15.024656,2.515956,0.745847,5.084261,0.747677,125
21,0.8,3,1.415,7,3.935061,27.12208,3.937071,1.935978,12.5814,1.937829,127
21,0.8,3,1.415,8,16.776515,125.584735,16.778457,10.019568,75.920385,10.021503,128
21,0.8,3,1.415,9,18.888782,142.063642,18.890948,1.059562,6.887105,1.061377,131
21,0.8,3,1.415,10,22.174339,165.115577,22.176465,2.808802,19.386394,2.810597,133
21,0.8,3,1.415,11,63.922681,490.999515,63.925753,24.318615,184.123518,24.32049,133
21,0.8,3,1.415,12,91.541127,708.898923,91.543101,48.737175,372.710529,48.739022,134
21,0.8,3,1.415,13,282.369188,2210.803843,282.37113,180.207659,1402.460712,180.209607,134
21,0.8,3,1.415,14,291.067154,2273.282975,291.069162,11.573069,84.557648,11.575209,135
21,0.8,3,1.415,15,380.269775,2989.561559,380.27198,18.152968,135.278846,18.154913,136
21,0.8,3,1.415,16,125.965415,980.846322,125.970122,5.293608,36.531593,5.295455,138
21,0.8,3,1.415,17,165.86353,1297.934637,165.865544,5.811891,42.235478,5.813699,138
21,0.8,3,1.415,18,78.571645,607.300519,78.57358,62.244286,474.532163,62.246139,139
21,0.8,3,1.415,19,106.017658,815.570042,106.019633,51.11734,393.499386,51.119368,139
21,0.8,3,1.415,20,165.632932,1294.128271,165.635278,51.656036,393.280514,51.657958,138
21,0.8,4,1.415,1,0.04981,0.104659,0.052291,0.085869,0.110432,0.087719,110
21,0.8,4,1.415,2,0.090369,0.281669,0.092479,0.090248,0.229775,0.095429,114
21,0.8,4,1.415,3,0.124596,0.289564,0.12657,0.128314,0.305002,0.130176,120
21,0.8,4,1.415,4,0.164006,0.483146,0.165994,0.19961,0.566671,0.201606,121
21,0.8,4,1.415,5,0.754186,3.83461,0.756233,0.579855,3.67497,0.581944,124
21,0.8,4,1.415,6,1.243989,7.724971,1.245952,0.507546,3.434295,0.50939,127
21,0.8,4,1.415,7,0.729525,3.852489,0.731491,0.346927,1.956098,0.349396,131
21,0.8,4,1.415,8,12.692196,92.849605,12.694183,10.096178,74.007068,10.09805,129
21,0.8,4,1.415,9,16.711408,125.899646,16.713583,14.212903,105.261361,14.214902,131
21,0.8,4,1.415,10,19.876939,148.320352,19.879165,19.039195,143.017365,19.041038,134
21,0.8,4,1.415,11,40.052717,305.89193,40.05497,3.209533,23.637925,3.211426,134
21,0.8,4,1.415,12,180.416465,1401.280065,180.418646,34.764949,265.592471,34.766773,133
21,0.8,4,1.415,13,167.280846,1294.999381,167.282846,2.098366,13.243567,2.100184,134
21,0.8,4,1.415,14,279.714253,2194.981906,279.71633,42.249003,322.650414,42.250819,134
21,0.8,4,1.415,15,371.255568,2911.38148,371.258026,617.837253,4846.356932,617.83922,135
21,0.8,4,1.415,16,844.954071,6666.894101,844.956093,373.778617,2897.678663,373.780513,134
21,0.8,4,1.415,17,456.00308,3525.881445,456.005308,524.154986,4102.210933,524.156805,135
21,0.8,4,1.415,18,460.950981,3589.096671,460.952976,53.480635,409.54685,53.482513,135
21,0.8,4,1.415,19,1526.418276,11915.158197,1526.420261,52.640351,400.144878,52.642291,133
21,0.8,4,1.415,20,342.510451,2660.655523,342.512565,315.144919,2464.117808,315.146896,135
21,0.8,5,1.415,1,0.021901,0.035915,0.023827,0.020786,0.032666,0.022612,111
21,0.8,5,1.415,2,0.084016,0.195878,0.086213,0.103078,0.149358,0.105131,115
21,0.8,5,1.415,3,0.239695,0.795106,0.241687,0.207801,0.68194,0.209779,118
21,0.8,5,1.415,4,1.139349,4.722454,1.141429,0.528867,3.515682,0.530918,121
21,0.8,5,1.415,5,1.623902,10.368833,1.62589,1.103576,7.742424,1.105384,122
21,0.8,5,1.415,6,3.059752,20.746138,3.061683,0.501749,3.262305,0.503566,124
21,0.8,5,1.415,7,2.496666,15.842573,2.499033,1.94276,13.018398,1.944649,128
21,0.8,5,1.415,8,6.455782,48.301089,6.457789,1.559618,10.672439,1.56145,129
21,0.8,5,1.415,9,31.998951,245.176871,32.001041,35.228612,270.266742,35.230599,130
21,0.8,5,1.415,10,51.089096,387.689401,51.091057,26.587561,201.106585,26.589456,131
