L,Density,Seed,UDG Radius,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
7,0.8,0,3.0,0.008805,0.012356,0.010078,0.012208,0.019004,0.01345,6
7,0.8,1,3.0,0.009134,0.011812,0.010489,0.012465,0.017256,0.013622,6
7,0.8,2,3.0,0.012797,0.019493,0.014114,0.010955,0.016269,0.012235,6
7,0.8,3,3.0,0.005406,0.006583,0.00661,0.004969,0.006222,0.006112,6
7,0.8,4,3.0,0.009318,0.012087,0.010593,0.011703,0.01945,0.012836,6
7,0.8,5,3.0,0.019229,0.015355,0.020548,0.016648,0.022399,0.018174,6
7,0.8,6,3.0,0.011045,0.014256,0.012653,0.024079,0.019447,0.025646,6
7,0.8,7,3.0,0.011606,0.013594,0.013188,0.027799,0.056372,0.029307,6
7,0.8,8,3.0,0.010331,0.0122,0.011687,0.017875,0.02262,0.01952,6
7,0.8,9,3.0,0.008011,0.0119,0.009331,0.015583,0.028615,0.016782,6
7,0.8,10,3.0,0.008389,0.012089,0.01006,0.014435,0.017805,0.01567,6
7,0.8,11,3.0,0.007545,0.01137,0.008788,0.015136,0.027553,0.016256,6
7,0.8,12,3.0,0.019394,0.023174,0.021891,0.012675,0.019706,0.013837,6
7,0.8,13,3.0,0.009032,0.011675,0.010286,0.016831,0.027822,0.018109,6
7,0.8,14,3.0,0.009951,0.012402,0.01151,0.011684,0.01779,0.013206,6
7,0.8,15,3.0,0.009797,0.012168,0.011281,0.01173,0.018555,0.012908,6
7,0.8,16,3.0,0.012771,0.019116,0.014086,0.008327,0.011797,0.00954,6
7,0.8,17,3.0,0.009235,0.013091,0.010725,0.011008,0.017746,0.012165,6
7,0.8,18,3.0,0.018063,0.024307,0.019654,0.012421,0.018045,0.013603,6
7,0.8,19,3.0,0.010062,0.012334,0.011364,0.012733,0.018323,0.013899,6
7,0.8,20,3.0,0.0104,0.015062,0.012098,0.011409,0.018789,0.012584,6
7,0.8,21,3.0,0.009483,0.013148,0.011044,0.013629,0.021128,0.015008,6
7,0.8,22,3.0,0.008828,0.007844,0.01024,0.006453,0.007343,0.008595,6
7,0.8,23,3.0,0.008533,0.012127,0.009889,0.035098,0.032282,0.036277,6
7,0.8,24,3.0,0.02712,0.013801,0.028472,0.024216,0.020317,0.025502,6
7,0.8,25,3.0,0.013303,0.013292,0.014742,0.015717,0.017295,0.017288,6
7,0.8,26,3.0,0.008072,0.012574,0.009461,0.011262,0.019722,0.012493,6
7,0.8,27,3.0,0.014326,0.013329,0.015924,0.017807,0.021958,0.018978,6
7,0.8,28,3.0,0.01634,0.017513,0.017702,0.016265,0.024237,0.022396,6
7,0.8,29,3.0,0.010321,0.015662,0.011645,0.008598,0.01186,0.009808,6
7,0.8,30,3.0,0.019062,0.012481,0.020424,0.014405,0.019257,0.016006,6
7,0.8,31,3.0,0.022698,0.016145,0.024067,0.010698,0.018568,0.011925,6
7,0.8,32,3.0,0.011183,0.015803,0.012558,0.009905,0.01745,0.011008,6
7,0.8,33,3.0,0.013381,0.016297,0.014662,0.009985,0.017463,0.011189,6
7,0.8,34,3.0,0.014471,0.01695,0.016013,0.015837,0.021025,0.017158,6
7,0.8,35,3.0,0.008566,0.011698,0.009877,0.011781,0.018656,0.013171,6
7,0.8,36,3.0,0.010268,0.01277,0.011554,0.016017,0.019333,0.01715,6
7,0.8,37,3.0,0.01299,0.018054,0.014369,0.014665,0.016085,0.016791,6
7,0.8,38,3.0,0.013055,0.016514,0.014416,0.018755,0.025651,0.021332,6
7,0.8,39,3.0,0.010418,0.012191,0.012222,0.012538,0.012753,0.015865,6
7,0.8,40,3.0,0.012772,0.016827,0.01447,0.010672,0.014741,0.012089,6
9,0.8,0,3.0,0.011828,0.014979,0.013644,0.025141,0.028571,0.026559,9
9,0.8,1,3.0,0.023627,0.086907,0.025048,0.016381,0.019792,0.018137,9
9,0.8,2,3.0,0.011683,0.014307,0.013089,0.012886,0.020376,0.014189,9
9,0.8,3,3.0,0.011528,0.013517,0.012943,0.014491,0.01957,0.016513,9
9,0.8,4,3.0,0.011991,0.015017,0.013411,0.034035,0.045074,0.035583,9
9,0.8,5,3.0,0.015314,0.022558,0.017543,0.023873,0.034189,0.026747,9
9,0.8,6,3.0,0.012143,0.018458,0.013788,0.015063,0.02517,0.016835,9
9,0.8,7,3.0,0.081101,0.27164,0.08261,0.052041,0.256082,0.053441,9
9,0.8,8,3.0,0.014404,0.016402,0.01625,0.015519,0.015343,0.016838,9
9,0.8,9,3.0,0.025187,0.018135,0.026604,0.029694,0.029475,0.031355,9
9,0.8,10,3.0,0.012394,0.014611,0.013899,0.018051,0.020837,0.019531,9
9,0.8,11,3.0,0.014669,0.016376,0.016122,0.011757,0.019676,0.013085,9
9,0.8,12,3.0,0.015695,0.015681,0.017091,0.011876,0.019443,0.013173,9
9,0.8,13,3.0,0.013162,0.018166,0.014636,0.015003,0.025555,0.0165,9
9,0.8,14,3.0,0.044523,0.143777,0.046239,0.012908,0.015774,0.015218,9
9,0.8,15,3.0,0.010317,0.014918,0.012182,0.017702,0.026904,0.019122,9
9,0.8,16,3.0,0.010208,0.015077,0.011618,0.014432,0.024037,0.015809,9
9,0.8,17,3.0,0.016206,0.015515,0.017677,0.016381,0.022322,0.01771,9
9,0.8,18,3.0,0.019562,0.027873,0.021294,0.016163,0.023114,0.017508,9
9,0.8,19,3.0,0.009132,0.014003,0.010507,0.011895,0.020263,0.013323,9
9,0.8,20,3.0,0.015543,0.015951,0.017237,0.022187,0.029182,0.02628,9
9,0.8,21,3.0,0.018453,0.018709,0.019969,0.017902,0.022796,0.019295,9
9,0.8,22,3.0,0.010683,0.014467,0.012092,0.016946,0.019653,0.018268,9
9,0.8,23,3.0,0.016806,0.015462,0.018389,0.033782,0.030643,0.035402,9
9,0.8,24,3.0,0.012606,0.015372,0.014663,0.015346,0.021615,0.016676,9
9,0.8,25,3.0,0.048183,0.236348,0.04959,0.020526,0.030032,0.021885,9
9,0.8,26,3.0,0.010415,0.01507,0.011842,0.023888,0.033648,0.025254,9
9,0.8,27,3.0,0.016571,0.024382,0.017979,0.017941,0.019297,0.020472,9
